Aldh18a1
Hexa
Golph3
C1s
Sept2
Spnb2
Atp5a1
Hspa9
Mbnl1
Tm7sf3
Epdr1
Ehd2
Lamb1
Edem2
Stt3a
Zdhhc3
Spty2d1
Ifrd1
Glb1
Vcpip1
Pycr1
Lbp
Fam18b
Arfip1
Ctso
Lhfp
Strap
Svep1
Loxl2
Lnpep
Cat
Cnn3
Eif3l
Slc39a13
Pan3
Grn
Notch2
Ctnnb1
Plat
Zfp207
Pgrmc1
Lamc1
Ogdh
Cdc16
Mtpn
Gns
Acaa2
C1qtnf6
Leprel2
Gpx7
Jam3
Maob
Appbp2
Ube2w
Sucla2
Tmem33
Prss12
Leprot
Lamp1
Slc25a17
Ubqln1
Lars2
Psmd1
Mef2a
Cct2
Fbxo30
Sema3b
Itfg1
Peg3
Mmadhc
Plxdc2
Deptor
Stag2
Sel1l
Tcf25
Tmem106b
Itgbl1
Rcan1
Papss2
Bzw1
1810055G02Rik
Cmpk1
Tmco1
G6pdx
Cep170
Tcp1
Flot1
Hnrnpm
Ankrd46
Smek2
Itgav
Blmh
Sdha
Srp68
Arfgap3
Cct3
Olfml1
Emp1
Rbck1
Clk1
Trpm7
Wbp5
Ddx5
Leprel4
Nono
Ccnd2
Tgfbr2
Cilp
Igsf10
Atxn10
Glt8d2
Antxr2
Sec23ip
Pdha1
Gbp2
D10Wsu52e
Pgm2
Triobp
Dag1
Mmp2
Serinc1
Msl3
Glg1
Sash1
Cr1l
Slc35f5
Zfp106
Hadha
Psmd2
Gnas
Col6a6
Uggt1
Snap47
Taok1
Spon1
Ndel1
Cpsf3
Atp6ap2
Ap2a2
Anxa7
Golgb1
Arsa
Raf1
Nisch
Dram2
Glod4
Mtap4
Irak3
2810008M24Rik
Galnt1
Nxf1
Thbs3
Golim4
Dcaf8
Ahctf1
Csnk1d
Usp25
Hnrpdl
Wdr1
Mfap5
Rcn3
Lrrc17
Grb10
Ipo4
Pnrc2
Scamp2
Tpp1
Nrp1
Col15a1
Sqstm1
Serinc3
Sh3bgrl
Ano6
Sec61a1
Dap
Surf4
Lrpap1
Cand1
Pxdn
Nedd4
Nfia
Gcap14
Scara5
Nptn
Qpct
Fcgrt
Rnf4
Tmed3
Hnrnph1
Iqgap1
Pfkp
Zfml
Ndufs1
Pros1
Ak3
Ssr2
Ergic2
Ctsf
Tsnax
Tmem59
Dcbld2
Zfand6
Tfpi2
Ppp1r15b
Lox
Scfd1
Bace2
Txn1
Ier5
Tmem165
Ptpra
Sulf1
Tusc3
Ifnar1
Lztr1
2400003C14Rik
Dnajc10
Ecm2
Fuca1
Pgm3
Matr3
Gdf10
Lama2
Paip2
Col6a1
Gpc6
Lass2
Cdk16
Stk38
Kctd10
Gtf2a1
Spsb1
Eef2
Odc1
Col14a1
Synj2bp
Col5a1
Rnf11
Alkbh5
Slc39a1
Socs3
Plod2
Copg
Rap1b
Rtn3
Ddx1
3632451O06Rik
Nars
Tmem30a
Sypl
Hspa13
Acaa1a
Ubc
Slc44a1
P4ha1
Vcan
Rab12
Tmed7
Ppp2r5c
Zfp148
Tuba1b
Pnpla8
Tmed2
Lepre1
Cltc
Lama4
Chpf
Adk
Cul1
Clptm1
Pdxdc1
Tram1
Itih5
Fbln5
4833439L19Rik
Lipa
Celf2
Angptl1
Chid1
Glt25d1
Scyl1
Fkbp14
Arl8b
Hspa5
Prdx2
Dab2
Dync1h1
Pmp22
Bcap31
Scpep1
Gpr153
Entpd2
Cln5
Yipf4
Cd81
Bgn
Rac1
Kdelr2
Ap2m1
Pdia6
Cd34
Col16a1
Cab39l
Trip12
Tmem119
Fkbp5
Smu1
Mapk1
App
Hspg2
Tapbp
Sumf1
Sf3b1
Fech
Gorasp2
Rps23
Ndufa1
Sparc
Gaa
Nrbp1
Morf4l1
Emilin1
Ywhab
Rnf19a
Anapc5
Sult1a1
Wnk1
Fkbp9
Podn
C1qtnf1
Gng12
Mafk
Gem
Dclk1
Pttg1ip
Man2a1
Tmem184c
Col5a2
Mpzl1
Frmd6
Erp44
Derl1
Becn1
Sdf2
Klhl13
Pld3
Actr3
Pam
Gpr180
Adam15
Vamp3
Cept1
Itga11
Cpe
Ppt1
Hexb
Cpt1a
Col3a1
Sec22b
Picalm
Tiparp
Xdh
Osbpl9
Bfar
Vldlr
Lpgat1
Cct4
Hspa2
Pid1
Rnf13
Scarb2
Kdelc1
Carhsp1
Htra1
C1ra
Gba
9130011J15Rik
Gars
Chrdl1
Sec62
Zeb1
Arhgap20
Ltbp4
Cd55
Fam3c
Lims2
Col6a3
Armcx3
Pdgfra
Ap3b1
Ntrk2
Efemp2
Sccpdh
Pdia3
Hsd17b4
Steap4
Vps35
9530068E07Rik
Dirc2
Dpy19l1
Gypc
Rfwd2
Pbrm1
S100a6
Ubfd1
Taldo1
Kdelr3
Zfp260
Papola
Arcn1
Atp6v1b2
Cox7b
Ppp1r15a
Lrrc41
Bckdk
Aftph
Cdkn1b
Eif3b
Cs
Pcolce
Srp72
Emilin2
Slc39a7
Chmp2b
Ltbp3
Atp6ap1
Tmem43
Heg1
Postn
9430020K01Rik
Srpr
Slc25a39
Dst
Agfg1
Egfr
Reep3
Col6a2
Mkln1
Snd1
Rraga
Ghitm
Eif2ak1
Fkbp7
Vcl
Pbx1
Katna1
Ctsd
Ogn
Ptgs2
Btd
Rbm18
2010106G01Rik
Caprin1
Polr2m
Tmem87b
Prkar1a
C230081A13Rik
Atl3
Prss23
Vbp1
Rbm7
Ggcx
Ssr3
B3gnt1
Sfrp4
Crtap
Pigt
Srpx
Ikbip
Hgsnat
Glt8d1
Rbx1
Cercam
Hpcal1
Aldh1a1
Trip11
Rlim
Rbbp7
Wtap
Cxcr7
Magt1
Tfdp1
Calu
