Scand1
Cdkn1c
Ppp1r11
Tex261
Zfand2b
Gnptg
Smn1
Socs1
Rpl13
Gm5506
Nagk
Dgcr6
Bri3
Tsn
Gps2
Hyi
Cygb
Ftl1
Edf1
Hoxa7
Htatip2
Alkbh2
Tmsb10
Lsm4
Gsta4
Cdkn1a
Leng1
Ccl2
Bri3bp
Meox1
Fam176b
Anp32e
Zmat5
Pou3f1
D4Ertd22e
Clpp
Ube2v1
U2af1
Rnaset2b
Rps9
2210016L21Rik
Cuta
Dnajc4
Cxcl1
Ddit3
Tnfaip2
Dynll2
Prrx2
0910001L09Rik
Ramp2
Fos
Ift27
Cd9
Tmem176b
Ifitm2
Drap1
Ssbp4
Mrps24
Eif1ax
A130040M12Rik
Cycs
Tuba4a
Akr7a5
Fam195a
Bcl7c
Tmem9
Mad2l2
Pltp
Mustn1
Pfdn2
4930526I15Rik
Atf5
Ddrgk1
Zfp580
Gpsm3
Anapc11
Gnb1
Ddah2
Glrx2
Zfp36l1
Tmem160
Acd
Ap2s1
Maff
Ier3
Med10
Sdhc
Tnfsf13b
D4Wsu53e
Snrpc
Hint1
C4b
Aprt
2310044H10Rik
Bloc1s1
Stx8
Swi5
Zfp385a
2410015M20Rik
Ube2m
